Date,dvd_yld_pct,q
2015-01-02,2.2417,0.022417
2015-01-05,2.2829,0.022829000000000002
2015-01-06,2.3046,0.023046
2015-01-07,2.2763,0.022763
2015-01-08,2.2366,0.022366
2015-01-09,2.2547,0.022547
2015-01-12,2.2725,0.022725
2015-01-13,2.2789,0.022789
2015-01-14,2.2927,0.022927
2015-01-15,2.3139,0.023139
2015-01-16,2.284,0.02284
2015-01-20,2.2791,0.022791000000000002
2015-01-21,2.2676,0.022675999999999998
2015-01-22,2.2344,0.022344
2015-01-23,2.2467,0.022467
2015-01-26,2.2415,0.022414999999999997
2015-01-27,2.2714,0.022713999999999998
2015-01-28,2.301,0.023010000000000003
2015-01-29,2.2799,0.022799
2015-01-30,2.3089,0.023089
2015-02-02,2.2807,0.022807
2015-02-03,2.2482,0.022482000000000002
2015-02-04,2.2568,0.022568
2015-02-05,2.2342,0.022342
2015-02-06,2.2404,0.022404
2015-02-09,2.2505,0.022505
2015-02-10,2.2267,0.022267000000000002
2015-02-11,2.2255,0.022254999999999997
2015-02-12,2.2043,0.022043
2015-02-13,2.1952,0.021952
2015-02-17,2.1918,0.021918000000000003
2015-02-18,2.1916,0.021916
2015-02-19,2.1931,0.021931
2015-02-20,2.1801,0.021801
2015-02-23,2.1804,0.021804
2015-02-24,2.1742,0.021741999999999997
2015-02-25,2.176,0.02176
2015-02-26,2.1786,0.021786
2015-02-27,2.1861,0.021861000000000002
2015-03-02,2.1723,0.021723
2015-03-03,2.1813,0.021813
2015-03-04,2.1905,0.021905
2015-03-05,2.1881,0.021880999999999998
2015-03-06,2.2193,0.022193
2015-03-09,2.2102,0.022102
2015-03-10,2.2466,0.022466
2015-03-11,2.2519,0.022519
2015-03-12,2.2236,0.022236
2015-03-13,2.2374,0.022374
2015-03-16,2.2079,0.022079
2015-03-17,2.2144,0.022144
2015-03-18,2.1881,0.021880999999999998
2015-03-19,2.1982,0.021981999999999998
2015-03-20,2.2393,0.022393
2015-03-23,2.2436,0.022435999999999998
2015-03-24,2.2563,0.022563
2015-03-25,2.2899,0.022899
2015-03-26,2.2953,0.022953
2015-03-27,2.2901,0.022900999999999998
2015-03-30,2.2625,0.022625000000000003
2015-03-31,2.2824,0.022824
2015-04-01,2.2905,0.022905000000000002
2015-04-02,2.2824,0.022824
2015-04-06,2.2671,0.022671
2015-04-07,2.2731,0.022730999999999998
2015-04-08,2.2655,0.022654999999999998
2015-04-09,2.2554,0.022553999999999998
2015-04-10,2.2432,0.022431999999999997
2015-04-13,2.2534,0.022534000000000002
2015-04-14,2.2491,0.022490999999999997
2015-04-15,2.239,0.02239
2015-04-16,2.2397,0.022397
2015-04-17,2.2657,0.022656999999999997
2015-04-20,2.2452,0.022452
2015-04-21,2.2479,0.022479
2015-04-22,2.2369,0.022369
2015-04-23,2.2313,0.022313
2015-04-24,2.2261,0.022261000000000003
2015-04-27,2.2354,0.022354
2015-04-28,2.2283,0.022283
2015-04-29,2.2376,0.022376
2015-04-30,2.2602,0.022602
2015-05-01,2.236,0.02236
2015-05-04,2.2296,0.022296
2015-05-05,2.2554,0.022553999999999998
2015-05-06,2.2648,0.022648
2015-05-07,2.2558,0.022557999999999998
2015-05-08,2.2265,0.022265
2015-05-11,2.2372,0.022372
2015-05-12,2.2438,0.022438
2015-05-13,2.2434,0.022434
2015-05-14,2.2203,0.022203
2015-05-15,2.2179,0.022179
2015-05-18,2.211,0.022109999999999998
2015-05-19,2.2117,0.022117
2015-05-20,2.2133,0.022133
2015-05-21,2.2068,0.022067999999999997
2015-05-22,2.2121,0.022121
2015-05-26,2.2362,0.022362000000000003
2015-05-27,2.2151,0.022151
2015-05-28,2.2177,0.022177
2015-05-29,2.2315,0.022315
2015-06-01,2.227,0.022269999999999998
2015-06-02,2.2292,0.022292
2015-06-03,2.2233,0.022233
2015-06-04,2.2423,0.022423000000000002
2015-06-05,2.2461,0.022461000000000002
2015-06-08,2.26,0.0226
2015-06-09,2.2603,0.022602999999999998
2015-06-10,2.2335,0.022334999999999997
2015-06-11,2.2263,0.022263
2015-06-12,2.2435,0.022435
2015-06-15,2.2532,0.022532
2015-06-16,2.241,0.02241
2015-06-17,2.2373,0.022372999999999997
2015-06-18,2.2143,0.022143000000000003
2015-06-19,2.2769,0.022768999999999998
2015-06-22,2.2653,0.022653
2015-06-23,2.2637,0.022637
2015-06-24,2.2802,0.022802
2015-06-25,2.2872,0.022872
2015-06-26,2.2876,0.022875999999999997
2015-06-29,2.3366,0.023365999999999998
2015-06-30,2.3317,0.023317
2015-07-01,2.3132,0.023132
2015-07-02,2.3153,0.023153
2015-07-06,2.3219,0.023219
2015-07-07,2.3074,0.023073999999999997
2015-07-08,2.3468,0.023468
2015-07-09,2.3426,0.023426
2015-07-10,2.3134,0.023134000000000002
2015-07-13,2.2882,0.022882
2015-07-14,2.2783,0.022783
2015-07-15,2.279,0.022789999999999998
2015-07-16,2.2609,0.022609
2015-07-17,2.259,0.02259
2015-07-20,2.2578,0.022578
2015-07-21,2.2668,0.022668
2015-07-22,2.2708,0.022708
2015-07-23,2.2837,0.022837
2015-07-24,2.3076,0.023076
2015-07-27,2.3211,0.023211
2015-07-28,2.293,0.022930000000000002
2015-07-29,2.2773,0.022772999999999998
2015-07-30,2.2768,0.022768
2015-07-31,2.2802,0.022802
2015-08-03,2.288,0.022879999999999998
2015-08-04,2.2924,0.022924000000000003
2015-08-05,2.2849,0.022848999999999998
2015-08-06,2.3038,0.023038
2015-08-07,2.3082,0.023082
2015-08-10,2.2795,0.022795
2015-08-11,2.3002,0.023001999999999998
2015-08-12,2.2975,0.022975
2015-08-13,2.3003,0.023003
2015-08-14,2.292,0.02292
2015-08-17,2.2793,0.022793
2015-08-18,2.2859,0.022858999999999997
2015-08-19,2.3041,0.023041
2015-08-20,2.3532,0.023532
2015-08-21,2.4263,0.024263
2015-08-24,2.5329,0.025329
2015-08-25,2.5631,0.025631
2015-08-26,2.4683,0.024683
2015-08-27,2.4087,0.024087
2015-08-28,2.4086,0.024086
2015-08-31,2.4282,0.024281999999999998
2015-09-01,2.5029,0.025029
2015-09-02,2.4563,0.024563
2015-09-03,2.4546,0.024546000000000002
2015-09-04,2.4923,0.024923
2015-09-08,2.4312,0.024312
2015-09-09,2.4641,0.024641000000000003
2015-09-10,2.4508,0.024508000000000002
2015-09-11,2.4397,0.024397000000000002
2015-09-14,2.4488,0.024488
2015-09-15,2.4186,0.024186
2015-09-16,2.3978,0.023978000000000003
2015-09-17,2.4032,0.024032
2015-09-18,2.5002,0.025002
2015-09-21,2.4873,0.024873
2015-09-22,2.52,0.0252
2015-09-23,2.5241,0.025241
2015-09-24,2.5332,0.025332
2015-09-25,2.5339,0.025339
2015-09-28,2.5991,0.025991
2015-09-29,2.5976,0.025976
2015-09-30,2.55,0.0255
2015-10-01,2.5434,0.025434000000000002
2015-10-02,2.5059,0.025059
2015-10-05,2.4621,0.024621
2015-10-06,2.4706,0.024706000000000002
2015-10-07,2.4505,0.024505
2015-10-08,2.4286,0.024286
2015-10-09,2.4272,0.024272000000000002
2015-10-12,2.4249,0.024249
2015-10-13,2.4402,0.024402
2015-10-14,2.452,0.02452
2015-10-15,2.4149,0.024148999999999997
2015-10-16,2.404,0.02404
2015-10-19,2.4028,0.024028
2015-10-20,2.4061,0.024061
2015-10-21,2.4209,0.024209
2015-10-22,2.3807,0.023807000000000002
2015-10-23,2.3549,0.023549
2015-10-26,2.3607,0.023607
2015-10-27,2.3652,0.023652000000000003
2015-10-28,2.3386,0.023386
2015-10-29,2.34,0.023399999999999997
2015-10-30,2.3501,0.023500999999999998
2015-11-02,2.3226,0.023226
2015-11-03,2.3159,0.023159
2015-11-04,2.323,0.02323
2015-11-05,2.3253,0.023253
2015-11-06,2.3265,0.023264999999999997
2015-11-09,2.3484,0.023483999999999998
2015-11-10,2.343,0.02343
2015-11-11,2.3523,0.023523000000000002
2015-11-12,2.3856,0.023856000000000002
2015-11-13,2.4127,0.024127
2015-11-16,2.3765,0.023765
2015-11-17,2.3782,0.023782
2015-11-18,2.3411,0.023411
2015-11-19,2.3431,0.023431
2015-11-20,2.3346,0.023346
2015-11-23,2.3373,0.023372999999999998
2015-11-24,2.3342,0.023342
2015-11-25,2.3345,0.023344999999999998
2015-11-27,2.3318,0.023318
2015-11-30,2.3416,0.023416000000000003
2015-12-01,2.3194,0.023194
